"Name","Status","DisplayName"
"TroubleshootingSvc","Stopped","Recommended Troubleshooting Service"
"TrustedInstaller","Stopped","Windows Modules Installer"
"tzautoupdate","Stopped","Auto Time Zone Updater"
"UdkUserSvc_77393","Running","Udk User Service_77393"
"UevAgentService","Stopped","User Experience Virtualization Service"
"UmRdpService","Running","Remote Desktop Services UserMode Port Redirector"
"UnistoreSvc_77393","Stopped","User Data Storage_77393"
"upnphost","Stopped","UPnP Device Host"
"UserDataSvc_77393","Stopped","User Data Access_77393"
"UserManager","Running","User Manager"
"UsoSvc","Running","Update Orchestrator Service"
"VaultSvc","Running","Credential Manager"
"vds","Stopped","Virtual Disk"
"vmcompute","Stopped","Hyper-V Host Compute Service"
"vmicguestinterface","Running","Hyper-V Guest Service Interface"
"vmicheartbeat","Running","Hyper-V Heartbeat Service"
"vmickvpexchange","Running","Hyper-V Data Exchange Service"
"vmicrdv","Running","Hyper-V Remote Desktop Virtualization Service"
"vmicshutdown","Running","Hyper-V Guest Shutdown Service"
"vmictimesync","Running","Hyper-V Time Synchronization Service"
"vmicvmsession","Stopped","Hyper-V PowerShell Direct Service"
"vmicvss","Running","Hyper-V Volume Shadow Copy Requestor"
"VSS","Running","Volume Shadow Copy"
"W32Time","Running","Windows Time"
"WaaSMedicSvc","Stopped","WaaSMedicSvc"
"WalletService","Stopped","WalletService"
"WarpJITSvc","Stopped","Warp JIT Service"
"wbengine","Stopped","Block Level Backup Engine Service"
"WbioSrvc","Stopped","Windows Biometric Service"
"Wcmsvc","Running","Windows Connection Manager"
"wcncsvc","Stopped","Windows Connect Now - Config Registrar"
"WdiServiceHost","Stopped","Diagnostic Service Host"
"WdiSystemHost","Stopped","Diagnostic System Host"
"WdNisSvc","Running","Microsoft Defender Antivirus Network Inspection Service"
"WebClient","Stopped","WebClient"
"webthreatdefsvc","Running","Web Threat Defense Service"
"webthreatdefusersvc_77393","Running","Web Threat Defense User Service_77393"
"Wecsvc","Stopped","Windows Event Collector"
"WEPHOSTSVC","Stopped","Windows Encryption Provider Host Service"
"wercplsupport","Stopped","Problem Reports Control Panel Support"
"WerSvc","Stopped","Windows Error Reporting Service"
"WFDSConMgrSvc","Stopped","Wi-Fi Direct Services Connection Manager Service"
"whesvc","Running","Windows Health and Optimized Experiences"
"WiaRpc","Stopped","Still Image Acquisition Events"
"WinDefend","Running","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","Running","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Running","Windows Management Instrumentation"
"WinRM","Stopped","Windows Remote Management (WS-Management)"
"wisvc","Stopped","Windows Insider Service"
"WlanSvc","Stopped","WLAN AutoConfig"
"wlidsvc","Stopped","Microsoft Account Sign-in Assistant"
"wlpasvc","Stopped","Local Profile Assistant Service"
"WManSvc","Stopped","Windows Management Service"
"wmiApSrv","Stopped","WMI Performance Adapter"
"WMPNetworkSvc","Stopped","Windows Media Player Network Sharing Service"
"workfolderssvc","Stopped","Work Folders"
"WpcMonSvc","Stopped","Parental Controls"
"WPDBusEnum","Stopped","Portable Device Enumerator Service"
"WpnService","Running","Windows Push Notifications System Service"
"WpnUserService_77393","Running","Windows Push Notifications User Service_77393"
"WSAIFabricSvc","Running","WSAIFabricSvc"
"wscsvc","Running","Security Center"
"WSearch","Running","Windows Search"
"WSLService","Running","WSL Service"
"wuauserv","Stopped","Windows Update"
"wuqisvc","Running","Microsoft Usage and Quality Insights"
"WwanSvc","Stopped","WWAN AutoConfig"
"XblAuthManager","Stopped","Xbox Live Auth Manager"
"XblGameSave","Stopped","Xbox Live Game Save"
"XboxGipSvc","Stopped","Xbox Accessory Management Service"
"XboxNetApiSvc","Stopped","Xbox Live Networking Service"
